id;name;total_amount;ordered;buyer_id
1;Handcrafted Granite Computer;14919;2020-04-29T19:39:15;2
2;Cotton deposit;66451;2020-04-30T17:45:09;2
3;program expedite;90773;2020-04-30T18:03:07;1
4;Burundi Franc Buckinghamshire;22;2020-04-30T04:09:49;2
5;JBOD standardization Djibouti Franc;42074;2020-04-30T10:39:24;1
6;Small customer loyalty Missouri;11113;2020-04-30T14:28:41;1
7;executive;46312;2020-04-29T23:42:40;1
8;Practical Concrete Tuna Sharable;46971;2020-04-29T20:03:03;2
9;plum;45871;2020-04-30T01:07:20;2
10;supply-chains;67394;2020-04-30T03:37:35;2
